Number;Name;Sub area;Collection type;Fills in (days);Max days between emptyings
1911;Rosendaalseweg 698;Geitenkamp;Dynamic;3,7;0
1262;Keltenveld 2;Schuytgraaf-Zuid;Scheduled;8,2;0
1466;Aasterbergstraat 2;De Laar Oost;Dynamic;6,5;0
701;Graslaan t,h,v, 102;Kamillehof;Dynamic;4,6;0
1283;Dalweg thv 59 (Middenberm);Sonsbeek Noord;Dynamic;15;0
94;Voetiuslaan 18;Statenkwartier;Dynamic;7,4;0
683;Forelstraat t,h,v, 51 zijkant(Graslaan);Groene Weide;Dynamic;3,1;0
950;Otis Reddingplein  5;Rijkerswoerd West;Dynamic;4,1;0
849;Gorinchemstraat 50;Elderveld Zuid;Dynamic;3,7;0
1473;Landgraafstraat 35 zijkant;De Laar Oost;Dynamic;5,6;0
1474;Landgraafstraat 68 overzijde;De Laar Oost;Dynamic;6,5;0
653;Egelantierstraat 2;Malburgen West;Dynamic;5;0
8;Spoorwegstraat 7;Hommelstraat;Dynamic;4,5;0
378;Agnietenstraat 73;Klarendal Noord;Dynamic;3,6;0
124;Broekstraat 57;Van Verschuerbuurt;Dynamic;9,9;0
1437;Hoedekenskerkstraat t,h,v, 54;De Laar Oost;Dynamic;4,8;0
1462;Echterbosstraat 80;De Laar Oost;Dynamic;5,6;0
959;Sterappelgaard  74;De Overmaat;Dynamic;4,8;0
1311;Onderlangs thv, 5;Utrechtsestraat;Dynamic;11;0
1019;Sonsbeeksingel 18  overzijde;Transvaalbuurt;Scheduled;30,4;0
922;Baakhovenstraat 127;De Laar Oost;Dynamic;7,9;0
1734;Dr, Willem Dreessingel 113 overzijde;Rijkerswoerd West;Dynamic;9,3;0
1662;Regiment Pioniers thv 2;Klarenbeek;Dynamic;16,2;0
2123;Broerenstraat tegenover ingang parkeergarage;Markt;Scheduled;3,7;0
1253;Dorserserf 29;Schuytgraaf-Zuid;Dynamic;7;0
860;Schipholplein 17;Elderveld Noord;Dynamic;3,5;0
230;Middachtensingel t/h No, 20-98;Over het Lange Water;Dynamic;8,1;0
1097;Lindeheuvel 63 overzijde;Onder de Linden;Dynamic;5,6;0
943;Theaterplein t,h,v, 1-3,;Rijkerswoerd Midden;Dynamic;6,2;0
1409;Hagemanswei 65 - 67;Elderhof;Dynamic;6,8;0
264;Valkhofplein t,h,v 31;Over het Lange Water;Dynamic;4,2;0
1360;Hellevoetsluisstraat 17;Elderveld Zuid;Dynamic;9,9;0
2067;Velperweg;Angerenstein;Dynamic;10,4;0
298;Gildemeestersplein voor ah;Winkelcentrum;Dynamic;1,9;0
1402;Koewei 35;Elderhof;Dynamic;8,2;0
1353;Hillegomweg 55;Elderveld Zuid;Dynamic;4,4;0
920;Terneuzenstraat 101 - 169;De Laar Oost;Dynamic;3,2;0
1743;Mooieweg thv 142;Rijkerswoerd West;Dynamic;8,7;0
906;Bredasingel t/o No, 214;De Laar West;Dynamic;2,3;0
802;Schepen van Ommerenstraat 132;Kronenburg;Dynamic;7,5;0
1384;Haarlemweg 11;Elderveld Noord;Dynamic;6,1;0
273;Biljoenlaan 65;Over het Lange Water;Dynamic;3,8;0
876;Udenstraat t,h,v, 57 zijkant;De Laar West;Dynamic;3,9;0
886;Teteringenstraat t,h,v, 97 overzijde;De Laar West;Dynamic;3,6;0
2072;Vosdijk 28;Molenbeke;Scheduled;0;0
11;Jufferstraat t/h No, 3-15;Hommelstraat;Dynamic;9;0
294;Gildemeesterplein 2-294;Winkelcentrum;Dynamic;3,1;0
1748;Dr, Joop den Uylsingel 96 zijkant;Rijkerswoerd West;Dynamic;13;0
1382;Wormerveerstraat 75;Elderveld Noord;Dynamic;3,6;0
1152;Laan van bevrijding 56;Schuytgraaf-Noord;Dynamic;5,4;0
1234;Alkmenegaard naast 32;De Overmaat;Dynamic;19,5;0
1144;Kustvaart t,h,v,1,;Schuytgraaf-Noord;Dynamic;8,1;0
123;Broekstraat 57;Van Verschuerbuurt;Dynamic;9,7;0
2145;Velperweg 22;Molenbeke;Dynamic;14,6;0
667;Suikerland t,h,v, 2;Groene Weide;Dynamic;3;0
2251;Laakoever;Schuytgraaf-Zuid;Dynamic;3,7;0
897;Kruising Eindhovensingel - Brabantweg;De Laar West;Dynamic;3;0
1737;Dr, Willem Dreessingel t,h,v, 149;Rijkerswoerd West;Dynamic;3,9;0
964;De Dissel 176;Schuytgraaf-Noord;Dynamic;6,6;0
492;Rosendaalseweg t/h No, 621;Geitenkamp;Dynamic;23,1;0
154;IJssellaan 61 - 83;Presikhaaf I;Dynamic;9,7;0
673;Graslaan t,h,v, 34;Groene Weide;Dynamic;2,4;0
1494;Heijenoordseweg t,h,v, 60;Heijenoord;Dynamic;14,9;0
1736;Glenn Millerstraat 41 overzijde;Rijkerswoerd West;Dynamic;4,5;0
2367;Oostenwind 24;Schuytgraaf-Zuid;Dynamic;5,6;0
96;Voetsiuslaan 31;Statenkwartier;Dynamic;5,8;0
165;Slaakweg t/h No, 291-313;Presikhaaf II;Dynamic;8,9;0
1419;Zeelandsingel naast nr 62;De Laar Oost;Dynamic;5,2;0
1189;Wikkestraat 41 zijkant,;Zeegsingel e,o,;Dynamic;4,4;0
1485;IJssellaan thv 29;Presikhaaf I;Dynamic;5,1;0
1200;Pijlkruidstraat  58,;Immerloo I;Dynamic;3,9;0
2553;Goud thv 54;Schuytgraaf-Centrum;Dynamic;4,5;7
567;Bauerstraat t/h No, 5-7;Sterrenberg;Dynamic;10,3;0
1385;Naardenstraat 24;Elderveld Noord;Dynamic;4;0
1388;Hilversumstraat thv 53 zijkant;Elderveld Noord;Dynamic;4,3;0
795;Schepen Van Oppenwervestraat t,h,v, 157;Kronenburg;Dynamic;6,9;0
377;Noordpad 54 zijkant;Klarendal Noord;Dynamic;4,1;0
2016;Castorstraat naast 66;Schuytgraaf-Centrum;Dynamic;3,3;0
531;Compagnieplaats 94;Klarenbeek;Dynamic;6,8;0
1568;Broekstraat 255;Arnhemse Broek;Dynamic;3,5;0
479;Fokke Noordhoffstraat 2;Geitenkamp;Dynamic;4,9;0
233;Grote Durk t/h No, 9-13;Over het Lange Water;Dynamic;3,1;0
392;Klarendalseweg 333 overzijde;St, Janskerkstraat e,o,;Dynamic;4,7;0
1848;Schepen van Hemertstraat  thv,25;Kronenburg;Dynamic;6;0
119;Rietgrachtstraat thv, 71;Van Verschuerbuurt;Dynamic;10;0
2476(*);Ogentroost;Malburgen-West;Dynamic;7,8;10
525;Rosendaalseweg 759A;Arnhemse Allee;Dynamic;6;0
1811;George Marshallstraat 6;Rijkerswoerd Midden;Dynamic;5,9;0
1020;Sonsbeeksingel 18  overzijde;Transvaalbuurt;Scheduled;68;0
306;Sonsbeeksingel 56;St, Marten;Dynamic;6,1;0
